Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
3,6,11,1,7,19.885999999999985,18,83,4,6,12,10,20.983999999999984,3.598999999999997,2.439999999999998,1.3419999999999992,20,13,7,5,88,20,7,5,6,1,72,6,6,L,0.23845454545454542,0.17994999999999997,0.3485714285714285,0.26839999999999997
3,6,12,1,3,13.968999999999989,17,70,31,78,33,35,15.310999999999988,3.4159999999999973,0.9759999999999995,2.439999999999998,20,13,6,10,75,13,6,13,5,0.5,33,4.5,6,L,0.20414666666666664,0.2627692307692307,0.16266666666666668,0.18769230769230769
3,7,13,1,15,23.91199999999998,20,109,13,19,120,117,24.64399999999998,0.122,7.685999999999994,2.1959999999999984,20,1,16,8,112,1,41,8,6,0,16,4,6,L,0.22003571428571428,0.122,0.18746341463414634,0.2744999999999999
3,7,14,1,7,19.397999999999985,18,109,4,11,86,9,19.519999999999985,6.526999999999995,7.563999999999994,1.3419999999999992,20,11,17,6,111,17,32,6,6,0.5,39,5.25,6,L,0.17585585585585586,0.3839411764705881,0.23637499999999997,0.22366666666666665
3,8,15,1,7,9.881999999999993,18,43,1,6,38,12,11.95599999999999,8.539999999999994,0.244,0.061,20,15,1,1,55,34,1,1,6,0.5,41,5.75,6,L,0.21738181818181818,0.2511764705882353,0.244,0.061
3,8,16,1,11,38.12499999999997,18,176,61,19,64,88,40.44299999999997,8.966999999999993,0.488,0.366,20,18,3,2,182,42,3,2,4,0,17,4.25,6,L,0.2222142857142857,0.2135,0.16266666666666665,0.183
3,9,17,1,14,50.99599999999996,18,236,39,86,85,45,57.76699999999995,1.3419999999999992,1.8909999999999987,8.295999999999994,20,5,7,16,270,6,9,41,3,0,16,4,6,L,0.21395185185185184,0.22366666666666662,0.2101111111111111,0.20234146341463413
3,9,18,1,1,13.48099999999999,20,63,13,113,120,78,44.346999999999966,0.122,0.183,0.5489999999999999,20,2,1,3,201,2,1,3,3,0,13,3.25,6,L,0.22063184079601988,0.061,0.183,0.183
3,10,19,1,7,13.54199999999999,17,65,2,82,9,29,13.663999999999989,5.001999999999996,5.672999999999996,36.66099999999997,19,12,11,15,67,18,19,140,6,0,20,5,6,L,0.20394029850746268,0.27788888888888885,0.298578947368421,0.26186428571428566
3,10,20,1,12,45.444999999999965,15,181,91,45,56,46,46.78699999999996,2.500999999999998,0.366,0.183,19,13,1,1,186,17,1,1,5,0,17,4.25,6,L,0.25154301075268815,0.14711764705882352,0.366,0.183
