schemaID,payoff,conN,type,expN,expVar,conVar,Time,Subject
1,3,0.5994028862305261,same,24.40043609,5.181766043,0.39763519763104505,29,18
14,3,0.42876418932760996,new,19.82444596,5.696560695,0.30500950732169524,29,18
8,2,0.6647384133712531,same,22.92546818,17.18497774,0.9955697317801859,29,18
13,2,0.4998445013115637,new,18.27657794,14.90293958,0.18266507277531355,29,18
7,6,0.86051416563716,same,50.91984497,22.17450084,0.5273683738935304,30,18
15,6,0.6932014245716269,new,49.521308929999996,32.19337558,0.2720079069101352,30,18
3,5,0.5934625709400974,same,38.11269084,9.358035718,0.1941495975657574,30,18
12,5,0.4947542618626582,new,26.4393834,10.82212773,0.3229046248330291,30,18
2,4,0.41146227036915234,same,26.22740557,11.11918442,0.7934084978230868,30,18
11,4,0.570126201791568,new,21.04766581,12.20478566,0.3241514924400822,30,18
1,3,0.46782138607388624,same,24.40043609,5.181766043,0.4757168885766912,30,18
14,3,0.42876418932760996,new,19.82444596,5.696560695,0.30500950732169524,30,18
8,2,0.6647384133712531,same,22.92546818,17.18497774,0.9955697317801859,30,18
13,2,0.4998445013115637,new,18.27657794,14.90293958,0.18266507277531355,30,18
7,6,0.86051416563716,same,50.91984497,22.17450084,0.5273683738935304,31,18
15,6,0.6765814085489169,new,49.521308929999996,32.19337558,0.21533555887115963,31,18
3,5,0.5934625709400974,same,38.11269084,9.358035718,0.1941495975657574,31,18
12,5,0.36561966858480976,new,26.4393834,10.82212773,0.4197351272998931,31,18
2,4,0.41146227036915234,same,26.22740557,11.11918442,0.7934084978230868,31,18
11,4,0.570126201791568,new,21.04766581,12.20478566,0.3241514924400822,31,18
1,3,0.46782138607388624,same,24.40043609,5.181766043,0.4757168885766912,31,18
14,3,0.42876418932760996,new,19.82444596,5.696560695,0.30500950732169524,31,18
8,2,0.6647384133712531,same,22.92546818,17.18497774,0.9955697317801859,31,18
13,2,0.3750818762337923,new,18.27657794,14.90293958,0.3150094885593766,31,18
7,6,0.7650353660038984,same,50.91984497,22.17450084,0.5123760611753636,32,18
15,6,0.7063023990610562,new,49.521308929999996,32.19337558,0.19531637697802065,32,18
3,5,0.6720774986985405,same,38.11269084,9.358035718,0.25382710993369484,32,18
12,5,0.3817814120968378,new,26.4393834,10.82212773,0.3180572043779672,32,18
