Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
1,9,18,1,7,5.123999999999996,15,28,6,27,12,57,5.245999999999996,3.3549999999999973,3.659999999999997,0.9759999999999995,17,10,10,5,30,17,13,6,6,0,21,5.25,7,L,0.17486666666666664,0.1973529411764706,0.2815384615384615,0.16266666666666665
1,10,19,1,3,4.7579999999999965,16,28,54,29,22,32,9.820999999999993,1.0369999999999995,2.2569999999999983,0.6709999999999998,20,6,7,3,50,8,8,4,5,0,20,5,7,L,0.19641999999999998,0.129625,0.2821249999999999,0.16775
1,10,20,1,8,8.600999999999994,14,37,68,46,2,11,15.18899999999999,2.500999999999998,0.061,0.183,20,10,1,2,77,11,1,2,2,0,21,5.25,7,L,0.19725974025974025,0.22736363636363635,0.061,0.0915
1,11,21,1,1,3.476999999999997,10,21,79,82,77,109,4.330999999999997,2.3789999999999982,3.9649999999999967,2.9279999999999977,13,8,12,7,24,9,15,12,3,0.5,20,2.75,7,L,0.18045833333333333,0.2643333333333333,0.2643333333333333,0.244
1,11,22,1,14,6.526999999999995,17,40,90,48,94,2,7.075999999999995,0.7929999999999997,0.7929999999999997,1.524999999999999,19,2,2,8,42,2,2,12,3,0,17,4.25,7,L,0.16847619047619047,0.3964999999999999,0.39649999999999996,0.12708333333333333
1,12,23,1,7,6.099999999999995,15,33,45,6,107,57,7.746999999999995,0.6099999999999999,4.269999999999997,0.366,18,5,7,4,36,6,11,4,6,0,17,4.25,7,L,0.21519444444444444,0.10166666666666667,0.38818181818181813,0.0915
1,12,24,1,11,4.635999999999997,17,30,116,13,110,95,7.441999999999995,7.8689999999999936,1.524999999999999,0.5489999999999999,20,16,3,3,36,26,6,3,4,0,13,3.25,7,L,0.2067222222222222,0.3026538461538461,0.25416666666666665,0.183
1,13,25,1,7,8.539999999999994,14,38,99,42,3,4,11.83399999999999,1.3419999999999992,6.770999999999995,0.5489999999999999,20,6,13,2,53,6,26,2,6,0,19,4.75,7,L,0.2232830188679245,0.22366666666666662,0.26042307692307687,0.27449999999999997
1,13,26,1,15,7.624999999999994,15,41,14,64,111,89,7.685999999999994,1.9519999999999986,0.6709999999999998,0.305,16,4,4,2,42,6,4,2,6,0,15,3.75,7,L,0.183,0.3253333333333333,0.16775,0.1525
1,14,27,1,3,8.234999999999994,18,44,29,16,13,15,8.661999999999994,0.9759999999999995,3.0499999999999976,2.561999999999998,20,5,10,7,46,5,12,11,5,0.5,41,5.75,7,L,0.18830434782608696,0.19519999999999998,0.25416666666666665,0.2329090909090909
1,14,28,1,13,4.7579999999999965,18,31,113,69,110,90,5.489999999999997,3.842999999999997,0.183,0.488,20,11,2,2,33,19,2,2,2,0,11,2.75,7,L,0.16636363636363635,0.2022631578947368,0.0915,0.244
1,15,29,1,1,5.7949999999999955,16,34,84,98,102,25,9.271999999999993,2.9279999999999977,2.622999999999998,0.5489999999999999,20,8,10,3,53,12,11,3,3,0,12,3,7,L,0.17494339622641508,0.24399999999999997,0.23845454545454542,0.183
1,15,30,1,13,6.221999999999995,17,37,111,96,17,24,7.746999999999995,0.7929999999999997,0.9759999999999995,2.1959999999999984,20,5,2,6,47,5,2,9,2,0,17,4.25,7,L,0.16482978723404254,0.1586,0.4879999999999999,0.244
1,16,31,1,15,7.258999999999994,16,31,17,57,91,87,9.088999999999993,5.672999999999996,2.9279999999999977,0.366,20,14,10,2,40,25,13,2,6,0,16,4,7,L,0.22722499999999995,0.22691999999999998,0.2252307692307692,0.183
1,16,32,1,7,7.075999999999994,15,39,3,29,11,10,7.136999999999994,1.8299999999999987,1.8909999999999987,0.061,16,5,7,1,40,7,9,1,6,0.5,41,5.75,7,L,0.17842499999999997,0.2614285714285714,0.21011111111111108,0.061
1,17,33,1,3,5.062999999999996,16,33,34,71,119,118,5.916999999999996,3.1109999999999975,1.9519999999999986,1.8299999999999987,18,11,9,10,35,18,12,11,5,0,13,3.25,7,L,0.16905714285714285,0.17283333333333334,0.16266666666666665,0.16636363636363635
1,17,34,1,12,4.330999999999997,15,27,46,98,80,59,7.014999999999995,1.4029999999999991,0.9759999999999995,0.8539999999999996,20,4,5,4,35,6,5,5,5,0,14,3.5,7,L,0.2004285714285714,0.2338333333333333,0.19519999999999998,0.1708
1,18,35,1,12,3.0499999999999976,11,13,86,42,45,103,7.441999999999995,0.061,1.4029999999999991,0.7929999999999997,20,1,6,6,27,1,6,6,5,0,15,3.75,7,L,0.2756296296296296,0.061,0.23383333333333334,0.13216666666666665
1,18,36,1,13,4.086999999999997,14,21,51,12,2,10,5.306999999999997,4.635999999999997,6.8319999999999945,2.0129999999999986,17,11,12,9,26,21,27,11,2,0.5,40,5.5,7,L,0.20411538461538462,0.22076190476190471,0.253037037037037,0.183
1,19,37,1,3,4.513999999999997,16,24,35,117,95,109,5.855999999999996,4.513999999999997,1.585999999999999,1.0369999999999995,20,10,5,4,31,16,5,4,5,0,12,3,7,L,0.1889032258064516,0.28212499999999996,0.3171999999999999,0.25925
1,19,38,1,1,6.526999999999995,12,33,81,80,104,57,13.23699999999999,10.857999999999992,3.0499999999999976,0.6099999999999999,20,19,9,1,64,42,13,1,3,0,12,3,7,L,0.20682812499999997,0.2585238095238095,0.23461538461538456,0.6099999999999999
1,20,39,1,3,7.746999999999994,17,49,85,104,25,31,8.539999999999994,0.7319999999999998,0.244,1.1589999999999994,19,4,1,5,51,5,1,5,5,0,15,3.75,7,L,0.16745098039215686,0.1464,0.244,0.23179999999999995
1,20,40,1,1,5.7339999999999955,14,23,73,84,44,119,8.600999999999994,4.269999999999997,0.061,1.3419999999999992,20,14,1,5,32,20,1,7,3,0,13,3.25,7,L,0.26878124999999997,0.2135,0.061,0.1917142857142857
2,1,1,0,10,6.343999999999995,16,30,96,86,57,22,6.526999999999995,2.439999999999998,1.9519999999999986,1.646999999999999,18,8,8,9,32,11,11,10,3,0,16,4,7,L,0.20396874999999995,0.2218181818181818,0.17745454545454545,0.16469999999999999
