Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
13,5,10,0,4,29.767999999999976,18,147,103,105,37,43,34.586999999999975,2.805999999999998,10.979999999999992,4.879999999999996,20,9,18,15,161,10,51,23,2,0,14,3.5,6,L,0.21482608695652172,0.28059999999999996,0.2152941176470588,0.21217391304347827
13,6,11,1,2,33.427999999999976,19,142,51,41,50,100,34.464999999999975,1.9519999999999986,3.0499999999999976,4.879999999999996,20,4,11,12,149,4,15,22,4,0,15,3.75,6,L,0.23130872483221476,0.4879999999999999,0.2033333333333333,0.2218181818181818
13,6,12,1,15,30.987999999999975,20,126,22,66,89,21,31.109999999999975,6.465999999999995,9.027999999999993,0.061,20,17,18,1,128,36,44,1,6,0,19,4.75,6,L,0.24304687499999997,0.1796111111111111,0.20518181818181816,0.061
13,7,13,1,8,14.151999999999989,20,67,32,106,13,97,18.543999999999986,2.9889999999999977,6.282999999999995,0.122,20,11,13,1,82,16,17,1,2,0,15,3.75,6,L,0.2261463414634146,0.1868125,0.36958823529411755,0.122
13,7,14,1,2,33.854999999999976,20,143,55,58,39,38,36.11199999999997,3.3549999999999973,3.537999999999997,3.476999999999997,20,11,13,10,155,17,24,14,4,0,18,4.5,6,L,0.2329806451612903,0.19735294117647056,0.14741666666666667,0.24835714285714283
13,8,15,1,7,13.05399999999999,18,61,1,4,5,6,28.242999999999977,0.427,1.3419999999999992,0.122,20,2,6,1,134,2,6,1,6,1,72,6,6,L,0.2107686567164179,0.2135,0.22366666666666665,0.122
13,8,16,1,14,23.48499999999998,20,99,67,86,87,97,33.061999999999976,2.8669999999999978,0.061,5.428999999999996,20,9,1,16,140,11,1,27,3,0,12,3,6,L,0.23615714285714282,0.2606363636363636,0.061,0.20107407407407404
13,9,17,1,7,15.127999999999988,19,79,3,5,11,72,17.140999999999988,0.7929999999999997,5.672999999999996,1.8299999999999987,20,5,14,4,90,5,24,6,6,0.5,40,5.5,6,L,0.19045555555555554,0.1586,0.236375,0.30499999999999994
13,9,18,1,15,29.096999999999976,17,124,17,16,22,19,29.157999999999976,9.027999999999993,0.305,13.29799999999999,18,16,2,15,125,30,2,53,6,1,72,6,6,L,0.23326399999999997,0.3009333333333333,0.1525,0.25090566037735845
13,10,19,1,11,12.07799999999999,16,53,61,43,21,81,18.116999999999987,15.493999999999987,2.683999999999998,5.428999999999996,20,19,10,13,75,75,14,24,4,0,18,4.5,6,L,0.24156,0.20658666666666664,0.1917142857142857,0.22620833333333332
13,10,20,1,2,29.828999999999976,20,141,59,52,50,4,29.889999999999976,0.9759999999999995,1.9519999999999986,2.0739999999999985,20,3,5,5,142,4,5,5,4,0.5,30,4.5,6,L,0.21049295774647886,0.244,0.3903999999999999,0.4147999999999999
13,11,21,1,3,21.349999999999984,17,107,35,27,36,49,24.21699999999998,0.061,2.439999999999998,7.014999999999994,20,1,11,14,120,1,14,33,5,0.5,34,4.75,6,L,0.2018083333333333,0.061,0.17428571428571427,0.21257575757575756
13,11,22,1,1,17.933999999999987,20,83,80,77,105,78,17.994999999999987,11.101999999999991,1.9519999999999986,2.3179999999999983,20,15,5,8,84,44,7,12,3,0.5,20,2.75,6,L,0.21422619047619046,0.2523181818181818,0.2788571428571428,0.19316666666666665
13,12,23,1,7,12.99299999999999,16,47,4,5,2,86,13.23699999999999,0.061,10.674999999999992,2.500999999999998,18,1,16,6,49,1,53,6,6,0.5,39,5.25,6,L,0.27014285714285713,0.061,0.20141509433962262,0.4168333333333332
13,12,24,1,15,21.105999999999984,20,100,13,21,24,15,21.166999999999984,0.061,0.5489999999999999,8.417999999999994,20,1,2,15,101,1,2,31,6,1,72,6,6,L,0.20957425742574257,0.061,0.27449999999999997,0.27154838709677415
13,13,25,1,11,47.21399999999996,17,206,67,65,33,8,47.76299999999996,1.2199999999999993,5.184999999999996,1.524999999999999,20,5,15,6,210,6,25,7,4,0,19,4.75,6,L,0.2274428571428571,0.20333333333333334,0.20739999999999997,0.21785714285714286
13,13,26,1,14,41.47999999999997,17,178,90,88,23,91,44.651999999999965,0.305,0.6709999999999998,6.099999999999995,20,2,1,15,193,2,1,24,3,0.5,24,3.75,6,L,0.23135751295336784,0.1525,0.6709999999999998,0.25416666666666665
13,14,27,1,12,24.64399999999998,16,106,46,72,95,90,27.266999999999978,7.258999999999994,4.574999999999997,0.305,20,17,11,1,120,36,19,1,5,0,15,3.75,6,L,0.22722499999999998,0.20163888888888887,0.2407894736842105,0.305
13,14,28,1,2,32.39099999999998,20,158,55,56,60,54,32.63499999999998,0.366,0.183,0.122,20,2,2,2,162,2,2,2,4,1,48,4,6,L,0.2014506172839506,0.183,0.0915,0.061
13,15,29,1,15,9.393999999999993,14,50,13,18,22,24,11.77299999999999,2.0129999999999986,1.0369999999999995,1.2809999999999993,20,8,4,5,65,10,6,5,6,1,72,6,6,L,0.18112307692307691,0.20129999999999998,0.17283333333333334,0.25619999999999993
13,15,30,1,7,21.654999999999983,17,117,1,6,4,38,21.715999999999983,2.9279999999999977,5.977999999999995,4.208999999999997,18,7,13,12,118,14,24,16,6,0.5,41,5.75,6,L,0.18403389830508474,0.20914285714285713,0.24908333333333332,0.2630625
13,16,31,1,13,21.715999999999983,17,102,112,113,96,109,28.547999999999977,1.4029999999999991,6.038999999999995,1.585999999999999,20,5,13,6,132,6,19,6,2,0.5,15,2.25,6,L,0.21627272727272726,0.23383333333333334,0.3178421052631578,0.2643333333333333
13,16,32,1,8,29.950999999999976,16,143,2,6,8,98,53.25299999999996,3.903999999999997,21.349999999999984,0.183,20,10,16,1,236,13,92,1,2,0.5,38,5,6,L,0.22564830508474573,0.3003076923076923,0.23206521739130434,0.183
14,1,1,0,4,33.915999999999976,20,141,21,48,55,56,35.440999999999974,2.3179999999999983,3.0499999999999976,4.147999999999997,20,8,9,11,144,9,10,16,2,0,19,4.75,6,L,0.24611805555555552,0.2575555555555555,0.3049999999999999,0.2592499999999999
14,1,2,0,6,16.28699999999999,19,88,1,5,7,8,16.34799999999999,1.0979999999999994,2.500999999999998,0.366,20,3,8,2,89,3,11,2,6,1,72,6,6,L,0.18368539325842695,0.366,0.22736363636363632,0.183
